"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US42003010301","Census Tract 103.01, Allegheny County, Pennsylvania","0","11",
"1400000US42003010302","Census Tract 103.02, Allegheny County, Pennsylvania","493","110",
"1400000US42003020100","Census Tract 201, Allegheny County, Pennsylvania","2643","212",
"1400000US42003020300","Census Tract 203, Allegheny County, Pennsylvania","1108","169",
"1400000US42003030500","Census Tract 305, Allegheny County, Pennsylvania","1865","202",
"1400000US42003040200","Census Tract 402, Allegheny County, Pennsylvania","642","56",
"1400000US42003040400","Census Tract 404, Allegheny County, Pennsylvania","1344","144",
"1400000US42003040500","Census Tract 405, Allegheny County, Pennsylvania","1397","174",
"1400000US42003040600","Census Tract 406, Allegheny County, Pennsylvania","1151","135",
"1400000US42003040900","Census Tract 409, Allegheny County, Pennsylvania","1911","263",
"1400000US42003050100","Census Tract 501, Allegheny County, Pennsylvania","989","136",
"1400000US42003050600","Census Tract 506, Allegheny County, Pennsylvania","1073","119",
"1400000US42003050900","Census Tract 509, Allegheny County, Pennsylvania","776","73",
"1400000US42003051000","Census Tract 510, Allegheny County, Pennsylvania","892","194",
"1400000US42003051100","Census Tract 511, Allegheny County, Pennsylvania","175","68",
"1400000US42003060300","Census Tract 603, Allegheny County, Pennsylvania","1495","127",
"1400000US42003060500","Census Tract 605, Allegheny County, Pennsylvania","877","121",
"1400000US42003070300","Census Tract 703, Allegheny County, Pennsylvania","1197","150",
"1400000US42003070500","Census Tract 705, Allegheny County, Pennsylvania","1971","177",
"1400000US42003070600","Census Tract 706, Allegheny County, Pennsylvania","1433","250",
"1400000US42003070800","Census Tract 708, Allegheny County, Pennsylvania","1668","192",
"1400000US42003070900","Census Tract 709, Allegheny County, Pennsylvania","2730","298",
"1400000US42003080200","Census Tract 802, Allegheny County, Pennsylvania","1092","122",
"1400000US42003080400","Census Tract 804, Allegheny County, Pennsylvania","1003","135",
"1400000US42003080600","Census Tract 806, Allegheny County, Pennsylvania","1355","171",
"1400000US42003080700","Census Tract 807, Allegheny County, Pennsylvania","1354","192",
"1400000US42003080900","Census Tract 809, Allegheny County, Pennsylvania","1231","162",
"1400000US42003090100","Census Tract 901, Allegheny County, Pennsylvania","1310","138",
"1400000US42003090200","Census Tract 902, Allegheny County, Pennsylvania","1587","213",
"1400000US42003090300","Census Tract 903, Allegheny County, Pennsylvania","1020","124",
"1400000US42003100500","Census Tract 1005, Allegheny County, Pennsylvania","906","70",
"1400000US42003101100","Census Tract 1011, Allegheny County, Pennsylvania","1446","137",
"1400000US42003101400","Census Tract 1014, Allegheny County, Pennsylvania","1684","215",
"1400000US42003101800","Census Tract 1018, Allegheny County, Pennsylvania","1378","186",
"1400000US42003101900","Census Tract 1019, Allegheny County, Pennsylvania","1269","111",
"1400000US42003110200","Census Tract 1102, Allegheny County, Pennsylvania","2477","434",
"1400000US42003110600","Census Tract 1106, Allegheny County, Pennsylvania","1148","109",
"1400000US42003111300","Census Tract 1113, Allegheny County, Pennsylvania","1581","183",
"1400000US42003111400","Census Tract 1114, Allegheny County, Pennsylvania","735","78",
"1400000US42003111500","Census Tract 1115, Allegheny County, Pennsylvania","2216","316",
"1400000US42003120300","Census Tract 1203, Allegheny County, Pennsylvania","872","107",
"1400000US42003120900","Census Tract 1209, Allegheny County, Pennsylvania","851","141",
"1400000US42003130200","Census Tract 1302, Allegheny County, Pennsylvania","653","65",
"1400000US42003130600","Census Tract 1306, Allegheny County, Pennsylvania","1544","159",
"1400000US42003130700","Census Tract 1307, Allegheny County, Pennsylvania","1513","141",
"1400000US42003130800","Census Tract 1308, Allegheny County, Pennsylvania","1489","157",
"1400000US42003140100","Census Tract 1401, Allegheny County, Pennsylvania","1072","107",
"1400000US42003140200","Census Tract 1402, Allegheny County, Pennsylvania","1024","108",
"1400000US42003140300","Census Tract 1403, Allegheny County, Pennsylvania","1507","115",
"1400000US42003140400","Census Tract 1404, Allegheny County, Pennsylvania","987","91",
"1400000US42003140500","Census Tract 1405, Allegheny County, Pennsylvania","1315","352",
"1400000US42003140800","Census Tract 1408, Allegheny County, Pennsylvania","2017","234",
"1400000US42003141100","Census Tract 1411, Allegheny County, Pennsylvania","610","61",
"1400000US42003141200","Census Tract 1412, Allegheny County, Pennsylvania","1938","131",
"1400000US42003141300","Census Tract 1413, Allegheny County, Pennsylvania","2399","263",
"1400000US42003141400","Census Tract 1414, Allegheny County, Pennsylvania","2942","249",
"1400000US42003151600","Census Tract 1516, Allegheny County, Pennsylvania","1416","235",
"1400000US42003151700","Census Tract 1517, Allegheny County, Pennsylvania","2951","654",
"1400000US42003160800","Census Tract 1608, Allegheny County, Pennsylvania","1585","274",
"1400000US42003160900","Census Tract 1609, Allegheny County, Pennsylvania","2328","222",
"1400000US42003161000","Census Tract 1610, Allegheny County, Pennsylvania","1409","256",
"1400000US42003170200","Census Tract 1702, Allegheny County, Pennsylvania","2583","248",
"1400000US42003170600","Census Tract 1706, Allegheny County, Pennsylvania","1104","138",
"1400000US42003180300","Census Tract 1803, Allegheny County, Pennsylvania","1203","175",
"1400000US42003180700","Census Tract 1807, Allegheny County, Pennsylvania","1080","102",
"1400000US42003190300","Census Tract 1903, Allegheny County, Pennsylvania","1215","193",
"1400000US42003191100","Census Tract 1911, Allegheny County, Pennsylvania","1513","176",
"1400000US42003191400","Census Tract 1914, Allegheny County, Pennsylvania","1872","303",
"1400000US42003191500","Census Tract 1915, Allegheny County, Pennsylvania","1071","106",
"1400000US42003191600","Census Tract 1916, Allegheny County, Pennsylvania","2003","204",
"1400000US42003191700","Census Tract 1917, Allegheny County, Pennsylvania","1673","201",
"1400000US42003191800","Census Tract 1918, Allegheny County, Pennsylvania","2633","238",
"1400000US42003191900","Census Tract 1919, Allegheny County, Pennsylvania","1138","218",
"1400000US42003192000","Census Tract 1920, Allegheny County, Pennsylvania","1778","166",
"1400000US42003202200","Census Tract 2022, Allegheny County, Pennsylvania","1324","219",
"1400000US42003202300","Census Tract 2023, Allegheny County, Pennsylvania","2076","254",
"1400000US42003241300","Census Tract 2413, Allegheny County, Pennsylvania","2129","221",
"1400000US42003250900","Census Tract 2509, Allegheny County, Pennsylvania","686","97",
"1400000US42003260200","Census Tract 2602, Allegheny County, Pennsylvania","1061","103",
"1400000US42003260700","Census Tract 2607, Allegheny County, Pennsylvania","842","137",
"1400000US42003261300","Census Tract 2613, Allegheny County, Pennsylvania","1058","109",
"1400000US42003261400","Census Tract 2614, Allegheny County, Pennsylvania","1303","133",
"1400000US42003261500","Census Tract 2615, Allegheny County, Pennsylvania","885","97",
"1400000US42003262000","Census Tract 2620, Allegheny County, Pennsylvania","1280","131",
"1400000US42003270100","Census Tract 2701, Allegheny County, Pennsylvania","1335","198",
"1400000US42003270300","Census Tract 2703, Allegheny County, Pennsylvania","992","158",
"1400000US42003270800","Census Tract 2708, Allegheny County, Pennsylvania","1427","331",
"1400000US42003271600","Census Tract 2716, Allegheny County, Pennsylvania","2302","378",
"1400000US42003281400","Census Tract 2814, Allegheny County, Pennsylvania","1227","190",
"1400000US42003281500","Census Tract 2815, Allegheny County, Pennsylvania","640","65",
"1400000US42003290100","Census Tract 2901, Allegheny County, Pennsylvania","993","94",
"1400000US42003290200","Census Tract 2902, Allegheny County, Pennsylvania","2206","289",
"1400000US42003290400","Census Tract 2904, Allegheny County, Pennsylvania","2202","290",
"1400000US42003300100","Census Tract 3001, Allegheny County, Pennsylvania","1702","160",
"1400000US42003310200","Census Tract 3102, Allegheny County, Pennsylvania","1632","149",
"1400000US42003320400","Census Tract 3204, Allegheny County, Pennsylvania","964","134",
"1400000US42003320600","Census Tract 3206, Allegheny County, Pennsylvania","1108","116",
"1400000US42003320700","Census Tract 3207, Allegheny County, Pennsylvania","821","119",
"1400000US42003401100","Census Tract 4011, Allegheny County, Pennsylvania","2210","205",
"1400000US42003401200","Census Tract 4012, Allegheny County, Pennsylvania","1745","184",
"1400000US42003401300","Census Tract 4013, Allegheny County, Pennsylvania","1194","128",
"1400000US42003402000","Census Tract 4020, Allegheny County, Pennsylvania","1771","139",
"1400000US42003403500","Census Tract 4035, Allegheny County, Pennsylvania","2487","320",
"1400000US42003404000","Census Tract 4040, Allegheny County, Pennsylvania","820","85",
"1400000US42003405000","Census Tract 4050, Allegheny County, Pennsylvania","550","67",
"1400000US42003406000","Census Tract 4060, Allegheny County, Pennsylvania","1047","100",
"1400000US42003407001","Census Tract 4070.01, Allegheny County, Pennsylvania","2613","256",
"1400000US42003407002","Census Tract 4070.02, Allegheny County, Pennsylvania","2922","228",
"1400000US42003408001","Census Tract 4080.01, Allegheny County, Pennsylvania","2111","173",
"1400000US42003408002","Census Tract 4080.02, Allegheny County, Pennsylvania","2400","296",
"1400000US42003409001","Census Tract 4090.01, Allegheny County, Pennsylvania","3315","305",
"1400000US42003409002","Census Tract 4090.02, Allegheny County, Pennsylvania","1621","202",
"1400000US42003410000","Census Tract 4100, Allegheny County, Pennsylvania","501","61",
"1400000US42003411001","Census Tract 4110.01, Allegheny County, Pennsylvania","1375","131",
"1400000US42003411002","Census Tract 4110.02, Allegheny County, Pennsylvania","2143","257",
"1400000US42003412002","Census Tract 4120.02, Allegheny County, Pennsylvania","1736","227",
"1400000US42003412003","Census Tract 4120.03, Allegheny County, Pennsylvania","2228","145",
"1400000US42003412004","Census Tract 4120.04, Allegheny County, Pennsylvania","1556","138",
"1400000US42003413100","Census Tract 4131, Allegheny County, Pennsylvania","2701","221",
"1400000US42003413201","Census Tract 4132.01, Allegheny County, Pennsylvania","1538","107",
"1400000US42003413202","Census Tract 4132.02, Allegheny County, Pennsylvania","1262","141",
"1400000US42003413300","Census Tract 4133, Allegheny County, Pennsylvania","1863","143",
"1400000US42003413400","Census Tract 4134, Allegheny County, Pennsylvania","1715","147",
"1400000US42003413500","Census Tract 4135, Allegheny County, Pennsylvania","3470","351",
"1400000US42003414101","Census Tract 4141.01, Allegheny County, Pennsylvania","2019","243",
"1400000US42003414102","Census Tract 4141.02, Allegheny County, Pennsylvania","2907","242",
"1400000US42003414200","Census Tract 4142, Allegheny County, Pennsylvania","2298","252",
"1400000US42003415001","Census Tract 4150.01, Allegheny County, Pennsylvania","1638","129",
"1400000US42003415002","Census Tract 4150.02, Allegheny County, Pennsylvania","1141","111",
"1400000US42003416000","Census Tract 4160, Allegheny County, Pennsylvania","846","66",
"1400000US42003417100","Census Tract 4171, Allegheny County, Pennsylvania","1028","90",
"1400000US42003417200","Census Tract 4172, Allegheny County, Pennsylvania","661","72",
"1400000US42003418000","Census Tract 4180, Allegheny County, Pennsylvania","909","76",
"1400000US42003419000","Census Tract 4190, Allegheny County, Pennsylvania","1700","151",
"1400000US42003420000","Census Tract 4200, Allegheny County, Pennsylvania","954","124",
"1400000US42003421100","Census Tract 4211, Allegheny County, Pennsylvania","2131","183",
"1400000US42003421200","Census Tract 4212, Allegheny County, Pennsylvania","1958","252",
"1400000US42003422000","Census Tract 4220, Allegheny County, Pennsylvania","1862","149",
"1400000US42003423000","Census Tract 4230, Allegheny County, Pennsylvania","1316","127",
"1400000US42003424000","Census Tract 4240, Allegheny County, Pennsylvania","1970","189",
"1400000US42003425000","Census Tract 4250, Allegheny County, Pennsylvania","1703","123",
"1400000US42003426300","Census Tract 4263, Allegheny County, Pennsylvania","2541","173",
"1400000US42003426400","Census Tract 4264, Allegheny County, Pennsylvania","2118","197",
"1400000US42003426700","Census Tract 4267, Allegheny County, Pennsylvania","1285","164",
"1400000US42003426800","Census Tract 4268, Allegheny County, Pennsylvania","2133","212",
"1400000US42003427000","Census Tract 4270, Allegheny County, Pennsylvania","2222","190",
"1400000US42003427100","Census Tract 4271, Allegheny County, Pennsylvania","2391","252",
"1400000US42003427200","Census Tract 4272, Allegheny County, Pennsylvania","2483","265",
"1400000US42003428100","Census Tract 4281, Allegheny County, Pennsylvania","606","86",
"1400000US42003428200","Census Tract 4282, Allegheny County, Pennsylvania","969","94",
"1400000US42003429100","Census Tract 4291, Allegheny County, Pennsylvania","1224","172",
"1400000US42003429201","Census Tract 4292.01, Allegheny County, Pennsylvania","2016","218",
"1400000US42003429202","Census Tract 4292.02, Allegheny County, Pennsylvania","1835","157",
"1400000US42003429300","Census Tract 4293, Allegheny County, Pennsylvania","2498","228",
"1400000US42003429400","Census Tract 4294, Allegheny County, Pennsylvania","1931","194",
"1400000US42003429500","Census Tract 4295, Allegheny County, Pennsylvania","2387","258",
"1400000US42003429600","Census Tract 4296, Allegheny County, Pennsylvania","1613","147",
"1400000US42003429700","Census Tract 4297, Allegheny County, Pennsylvania","1040","119",
"1400000US42003430100","Census Tract 4301, Allegheny County, Pennsylvania","1042","181",
"1400000US42003430200","Census Tract 4302, Allegheny County, Pennsylvania","2041","139",
"1400000US42003431100","Census Tract 4311, Allegheny County, Pennsylvania","1907","182",
"1400000US42003431400","Census Tract 4314, Allegheny County, Pennsylvania","994","112",
"1400000US42003431500","Census Tract 4315, Allegheny County, Pennsylvania","2022","180",
"1400000US42003432300","Census Tract 4323, Allegheny County, Pennsylvania","1534","216",
"1400000US42003432400","Census Tract 4324, Allegheny County, Pennsylvania","1457","137",
"1400000US42003434000","Census Tract 4340, Allegheny County, Pennsylvania","862","101",
"1400000US42003435000","Census Tract 4350, Allegheny County, Pennsylvania","1191","74",
"1400000US42003437000","Census Tract 4370, Allegheny County, Pennsylvania","2767","171",
"1400000US42003439000","Census Tract 4390, Allegheny County, Pennsylvania","614","61",
"1400000US42003445500","Census Tract 4455, Allegheny County, Pennsylvania","1936","177",
"1400000US42003446000","Census Tract 4460, Allegheny County, Pennsylvania","666","63",
"1400000US42003447000","Census Tract 4470, Allegheny County, Pennsylvania","711","185",
"1400000US42003448000","Census Tract 4480, Allegheny County, Pennsylvania","633","68",
"1400000US42003449000","Census Tract 4490, Allegheny County, Pennsylvania","1149","67",
"1400000US42003450700","Census Tract 4507, Allegheny County, Pennsylvania","1855","185",
"1400000US42003450800","Census Tract 4508, Allegheny County, Pennsylvania","1349","143",
"1400000US42003451101","Census Tract 4511.01, Allegheny County, Pennsylvania","1542","190",
"1400000US42003451102","Census Tract 4511.02, Allegheny County, Pennsylvania","2232","316",
"1400000US42003451104","Census Tract 4511.04, Allegheny County, Pennsylvania","1371","179",
"1400000US42003451105","Census Tract 4511.05, Allegheny County, Pennsylvania","2355","282",
"1400000US42003451300","Census Tract 4513, Allegheny County, Pennsylvania","3379","1000",
"1400000US42003452000","Census Tract 4520, Allegheny County, Pennsylvania","2752","236",
"1400000US42003453003","Census Tract 4530.03, Allegheny County, Pennsylvania","735","111",
"1400000US42003453004","Census Tract 4530.04, Allegheny County, Pennsylvania","3493","449",
"1400000US42003455000","Census Tract 4550, Allegheny County, Pennsylvania","728","77",
"1400000US42003456001","Census Tract 4560.01, Allegheny County, Pennsylvania","1512","176",
"1400000US42003456003","Census Tract 4560.03, Allegheny County, Pennsylvania","2588","161",
"1400000US42003456004","Census Tract 4560.04, Allegheny County, Pennsylvania","2207","204",
"1400000US42003457100","Census Tract 4571, Allegheny County, Pennsylvania","736","79",
"1400000US42003457200","Census Tract 4572, Allegheny County, Pennsylvania","2047","175",
"1400000US42003458001","Census Tract 4580.01, Allegheny County, Pennsylvania","1982","141",
"1400000US42003458002","Census Tract 4580.02, Allegheny County, Pennsylvania","2113","215",
"1400000US42003459101","Census Tract 4591.01, Allegheny County, Pennsylvania","706","95",
"1400000US42003459102","Census Tract 4591.02, Allegheny County, Pennsylvania","2541","192",
"1400000US42003459201","Census Tract 4592.01, Allegheny County, Pennsylvania","3356","286",
"1400000US42003459202","Census Tract 4592.02, Allegheny County, Pennsylvania","522","70",
